State Dimensions: 364
Action Dimensions: 2
Action Max: 0.2 m/s and 1 rad/s
---------------------- EPISODE 1 --------------------
waiting for service
reset called
[INFO] [1650672289.419011, 0.831000]: Goal position : 0.6, 0.0
0.6 0.0
step: 233 | reward: -8.0 | done: False | action: 0.07498723268508911,0.4986819326877594
step: 234 | reward: -8.0 | done: False | action: 0.07591371983289719,0.5615308880805969
step: 235 | reward: -8.0 | done: False | action: 0.07093425840139389,0.7596525549888611
step: 236 | reward: -8.0 | done: False | action: 0.05431146174669266,0.6636729836463928
step: 237 | reward: -8.0 | done: False | action: 0.04364468902349472,0.7113954424858093
step: 238 | reward: -8.0 | done: False | action: 0.050474416464567184,0.8280422687530518
step: 239 | reward: -8.0 | done: False | action: 0.06068655103445053,0.741023063659668
step: 240 | reward: -8.0 | done: False | action: 0.053477395325899124,0.9134183526039124
step: 241 | reward: -8.0 | done: False | action: 0.07068581134080887,1.0
step: 242 | reward: -8.0 | done: False | action: 0.07882329076528549,1.0
step: 243 | reward: -8.0 | done: False | action: 0.08307246118783951,1.0
step: 244 | reward: 2.0000000000000018 | done: False | action: 0.07611812651157379,1.0
step: 245 | reward: -8.0 | done: False | action: 0.064424529671669,1.0
step: 246 | reward: -8.0 | done: False | action: 0.05935419723391533,1.0
step: 247 | reward: 2.0000000000000018 | done: False | action: 0.051370661705732346,0.9286723732948303
step: 248 | reward: 2.0000000000000018 | done: False | action: 0.04187706112861633,1.0
step: 249 | reward: -8.0 | done: False | action: 0.034647200256586075,0.937553882598877
step: 250 | reward: 2.0000000000000018 | done: False | action: 0.031709179282188416,0.9475324153900146
step: 251 | reward: -8.0 | done: False | action: 0.04165012761950493,1.0
step: 252 | reward: 2.0000000000000018 | done: False | action: 0.04445597156882286,1.0
step: 253 | reward: -8.0 | done: False | action: 0.03679097071290016,0.8929279446601868
step: 254 | reward: 2.0000000000000018 | done: False | action: 0.040990207344293594,0.9660418629646301
step: 255 | reward: 1.9999999999999796 | done: False | action: 0.04238409176468849,0.9837715029716492
step: 256 | reward: -8.0 | done: False | action: 0.051024429500103,0.8577156066894531
step: 257 | reward: -8.0 | done: False | action: 0.04573173448443413,0.7637418508529663
step: 258 | reward: 2.0000000000000018 | done: False | action: 0.06530684232711792,0.9078130125999451
step: 259 | reward: -8.0 | done: False | action: 0.07053283601999283,0.9543673992156982
step: 260 | reward: -8.0 | done: False | action: 0.07646366953849792,1.0
step: 261 | reward: -8.0 | done: False | action: 0.051511816680431366,0.9597373008728027
step: 262 | reward: -8.0 | done: False | action: 0.036553092300891876,0.9332495331764221
step: 263 | reward: -8.0 | done: False | action: 0.04005894064903259,1.0
step: 264 | reward: -8.0 | done: False | action: 0.04910466447472572,0.9887944459915161
step: 265 | reward: -8.0 | done: False | action: 0.055923063308000565,0.8990046381950378
step: 266 | reward: -8.0 | done: False | action: 0.050150882452726364,0.9011720418930054
step: 267 | reward: -8.0 | done: False | action: 0.051595211029052734,0.9335298538208008
step: 268 | reward: -8.0 | done: False | action: 0.06337467581033707,0.9473559856414795
step: 269 | reward: -8.0 | done: False | action: 0.06739387661218643,0.8974287509918213
step: 270 | reward: -8.0 | done: False | action: 0.07133619487285614,0.615570068359375
step: 271 | reward: -8.0 | done: False | action: 0.048792097717523575,0.7442630529403687
step: 272 | reward: -8.0 | done: False | action: 0.04017309844493866,0.6990272998809814
step: 273 | reward: -8.0 | done: False | action: 0.0552438385784626,0.7868511080741882
step: 274 | reward: -8.0 | done: False | action: 0.072379469871521,0.9046741724014282
step: 275 | reward: -8.0 | done: False | action: 0.05810157582163811,0.8283845782279968
step: 276 | reward: -8.0 | done: False | action: 0.054954174906015396,1.0
step: 277 | reward: -8.0 | done: False | action: 0.04965433105826378,1.0
step: 278 | reward: -8.0 | done: False | action: 0.06104988604784012,0.941421389579773
step: 279 | reward: -8.0 | done: False | action: 0.050396110862493515,0.9384990930557251
step: 280 | reward: 2.0000000000000018 | done: False | action: 0.04225098714232445,0.8567662239074707
step: 281 | reward: -8.0 | done: False | action: 0.03817368298768997,0.8155463933944702
step: 282 | reward: 2.0000000000000018 | done: False | action: 0.04296155646443367,0.766040563583374
step: 283 | reward: -8.0 | done: False | action: 0.040697310119867325,0.7186373472213745
step: 284 | reward: -8.0 | done: False | action: 0.026884905993938446,0.5933207869529724
step: 285 | reward: 2.0000000000000018 | done: False | action: 0.04826370254158974,0.48799076676368713
step: 286 | reward: -8.0 | done: False | action: 0.049413688480854034,0.3898743689060211
step: 287 | reward: 2.0000000000000018 | done: False | action: 0.05948410555720329,0.6725327968597412
step: 288 | reward: 2.0000000000000018 | done: False | action: 0.05468115583062172,0.655419111251831
step: 289 | reward: 2.0000000000000018 | done: False | action: 0.056513894349336624,0.6438758969306946
step: 290 | reward: 2.0000000000000018 | done: False | action: 0.045478787273168564,0.43998777866363525
step: 291 | reward: 2.0000000000000018 | done: False | action: 0.02747400291264057,0.5000263452529907
step: 292 | reward: -8.0 | done: False | action: 0.01606958732008934,0.5849620699882507
step: 293 | reward: -8.0 | done: False | action: 0.009773909114301205,0.6635285019874573
step: 294 | reward: 2.0000000000000018 | done: False | action: 0.025268258526921272,0.611295759677887
step: 295 | reward: -8.0 | done: False | action: 0.021604390814900398,0.6307627558708191
step: 296 | reward: -8.0 | done: False | action: 0.03003035858273506,0.6102733612060547
step: 297 | reward: -8.0 | done: False | action: 0.02494877390563488,0.8690099120140076
step: 298 | reward: -8.0 | done: False | action: 0.03660762682557106,0.8786806464195251
step: 299 | reward: 1.9999999999999796 | done: False | action: 0.033727727830410004,1.0
step: 300 | reward: -8.0 | done: False | action: 0.05610299110412598,1.0
------------------------------------- EPISODE END -----------------------------------------
---------------------- EPISODE 4 --------------------
waiting for service
reset called
[INFO] [1650672353.005870, 1.188000]: Goal position : -1.2, -0.3
-1.2 -0.3
step: 301 | reward: -8.0 | done: False | action: 0.05134383216500282,1.0
step: 302 | reward: -8.0 | done: False | action: 0.04658836871385574,0.8968539237976074
step: 303 | reward: -8.0 | done: False | action: 0.04263710603117943,1.0
step: 304 | reward: -8.0 | done: False | action: 0.04817093163728714,0.9240320920944214
step: 305 | reward: -8.0 | done: False | action: 0.039199426770210266,1.0
step: 306 | reward: -8.0 | done: False | action: 0.039662715047597885,1.0
step: 307 | reward: -8.0 | done: False | action: 0.04553499445319176,1.0
step: 308 | reward: -8.0 | done: False | action: 0.05237472429871559,1.0
step: 309 | reward: -8.0 | done: False | action: 0.061415404081344604,1.0
step: 310 | reward: -8.0 | done: False | action: 0.06417100131511688,1.0
step: 311 | reward: -8.0 | done: False | action: 0.041857559233903885,1.0
step: 312 | reward: -8.0 | done: False | action: 0.034230124205350876,1.0
step: 313 | reward: -8.0 | done: False | action: 0.03824968636035919,1.0
step: 314 | reward: 2.0000000000000018 | done: False | action: 0.041165780276060104,0.9984514117240906
step: 315 | reward: -8.0 | done: False | action: 0.06525171548128128,0.9307738542556763
step: 316 | reward: 2.0000000000000018 | done: False | action: 0.0374455563724041,1.0
step: 317 | reward: 2.0000000000000018 | done: False | action: 0.03897516801953316,1.0
step: 318 | reward: -8.0 | done: False | action: 0.05450421944260597,1.0
step: 319 | reward: 2.0000000000000018 | done: False | action: 0.041593946516513824,0.9323506355285645
step: 320 | reward: 2.0000000000000018 | done: False | action: 0.05382131040096283,0.6559268832206726
step: 321 | reward: 2.0000000000000018 | done: False | action: 0.05738397687673569,0.41073891520500183
step: 322 | reward: -8.0 | done: False | action: 0.03189079463481903,0.4029077887535095
step: 323 | reward: 2.0000000000000018 | done: False | action: 0.0373869314789772,0.5050449967384338
step: 324 | reward: -8.0 | done: False | action: 0.03580450639128685,0.5205202102661133
step: 325 | reward: 2.0000000000000018 | done: False | action: 0.027095824480056763,0.508556604385376
step: 326 | reward: -8.0 | done: False | action: 0.016473427414894104,0.7051361203193665
step: 327 | reward: -8.0 | done: False | action: 0.02046831138432026,0.7428282499313354
